"RANK","REFEREE","ROLE","GENDER","EXPERIENCE (YEARS)","GAMES OFFICIATED","HOME TEAM WIN%","HOME TEAM POINTS DIFFERENTIAL","TOTAL POINTS PER GAME","CALLED FOULS PER GAME","FOUL% AGAINST ROAD TEAMS","FOUL% AGAINST HOME TEAMS","FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)"
"","Sean Corbin","CHIEF","MALE","31","17","0.529","2.5","233.5","37.1","0.509","0.49","0.7"
"","JB DeRosa","CHIEF","MALE","7","16","0.5","0.1","227.9","38.9","0.514","0.487","1.1"
"","Rodney Mott","CHIEF","MALE","29","16","0.5","-2.3","224.5","43.1","0.506","0.493","0.6"
"","Tony Brothers","CHIEF","MALE","30","15","0.6","5.1","231.3","39.3","0.502","0.499","0.1"
"","Marc Davis","CHIEF","MALE","25","15","0.533","2.4","230.7","37.6","0.514","0.486","1.1"
"","Bill Kennedy","CHIEF","MALE","29","15","0.533","-1.9","226.6","40.8","0.492","0.508","-0.7"
"","Mark Lindsay","CHIEF","MALE","17","12","0.667","4.7","240","43.1","0.528","0.472","2.4"
"","Michael Smith","CHIEF","MALE","31","12","0.5","3.3","231.5","38.7","0.497","0.502","-0.2"
"","Pat Fraher","CHIEF","MALE","29","12","0.333","0.8","222.8","39","0.462","0.538","-3"
"","Scott Foster","CHIEF","MALE","30","12","0.583","5.3","233.4","45.2","0.513","0.487","1.2"
"","Tom Washington","CHIEF","MALE","33","12","0.75","7","215.2","38.9","0.482","0.518","-1.4"
"","Curtis Blair","CHIEF","MALE","16","11","0.545","-0.7","231.1","43.8","0.513","0.488","1.1"
"","Zach Zarba","CHIEF","MALE","21","11","0.636","10.3","227.5","41.4","0.501","0.498","0.1"
"","Sean Wright","CHIEF","MALE","19","10","0.8","11.6","241","38.5","0.506","0.494","0.5"
"","Courtney Kirkland","CHIEF","MALE","25","10","0.6","3.2","224","33.7","0.507","0.493","0.5"
"","Eric Dalen","CHIEF","MALE","16","9","0.556","1.4","234.6","37.9","0.478","0.522","-1.7"
"","Brian Forte","CHIEF","MALE","18","9","0.667","2","224.9","41.3","0.541","0.46","3.3"
"","Derek Richardson","CHIEF","MALE","29","8","0.625","6","223.3","38.4","0.55","0.449","3.9"
"","Ben Taylor","CHIEF","MALE","12","7","0.571","5.6","225.9","41.7","0.497","0.504","-0.3"
"","James Capers","CHIEF","MALE","29","7","0.857","5.7","227.4","36","0.552","0.448","3.7"
"","Nick Buchert","CHIEF","MALE","14","7","0.143","-2.6","243.7","40.7","0.502","0.498","0.1"
"","Josh Tiven","CHIEF","MALE","15","6","0.167","-5.5","228.8","36.3","0.505","0.496","0.3"
"","Scott Wall","CHIEF","MALE","29","6","0.5","-1.3","237.7","39.8","0.536","0.465","2.8"
"","Ed Malloy","CHIEF","MALE","22","6","0.833","10","218","37.3","0.469","0.532","-2.3"
"","Matt Boland","CHIEF","MALE","25","6","1","18.2","225.5","40.7","0.512","0.487","1"
"","Brett Nansel","CHIEF","MALE","10","5","0.8","5.2","222.4","40","0.5","0.5","0"
"","David Guthrie","CHIEF","MALE","19","5","0.2","-6.2","241","42","0.514","0.486","1.2"
"","Kevin Cutler","CHIEF","MALE","15","5","0.6","2","222","39.4","0.503","0.497","0.2"
"","Leon Wood","CHIEF","MALE","29","5","0.4","-4","228","41","0.502","0.498","0.2"
"","Derrick Collins","CHIEF","MALE","25","5","0.6","7","235.8","40.2","0.483","0.517","-1.4"
"","Kevin Scott","CHIEF","MALE","14","5","0.8","7.6","230.4","36.6","0.546","0.454","3.4"
"","James Williams","CHIEF","MALE","14","4","0.5","-4.5","216.5","34.8","0.481","0.517","-1.3"
"","Karl Lane","CHIEF","MALE","14","4","0.75","8.3","205.8","38.8","0.49","0.509","-0.8"
"","Brent Barnaky","CHIEF","MALE","15","3","0.333","-7","221.7","46.3","0.475","0.526","-2.3"
"","J.T. Orr","CHIEF","MALE","15","3","0.667","-0.7","233.3","41.7","0.552","0.448","4.3"
"","Tre Maddox","CHIEF","MALE","14","3","1","6.3","223","37.3","0.554","0.447","4"
"","Tyler Ford","CHIEF","MALE","10","2","0.5","3.5","218.5","44.5","0.449","0.551","-4.5"
"","CJ Washington","CHIEF","MALE","10","1","0","-12","254","42","0.452","0.548","-4"
"","Gediminas Petraitis","CHIEF","MALE","10","1","1","7","219","36","0.583","0.417","6"
"","Justin Van Duyne","CHIEF","MALE","11","1","1","6","230","42","0.595","0.405","8"
"","Mitchell Ervin","CHIEF","MALE","10","1","0","-7","211","47","0.489","0.511","-1"
"","Matt Myers","CHIEF","MALE","12","1","0","-1","227","42","0.452","0.548","-4"
"","Mitchell Ervin","CREW","MALE","10","16","0.5","-0.3","237.9","41.9","0.516","0.483","1.4"
"","Aaron Smith","CREW","MALE","9","16","0.688","2.4","222.7","40.8","0.509","0.492","0.7"
"","Jacyn Goble","CREW","MALE","8","16","0.563","2.8","235.3","43.1","0.51","0.489","0.9"
"","Ray Acosta","CREW","MALE","7","16","0.5","2.9","226.8","39.3","0.509","0.491","0.7"
"","Dedric Taylor","CREW","MALE","11","15","0.333","-2.5","225.9","39.9","0.503","0.496","0.3"
"","Gediminas Petraitis","CREW","MALE","10","15","0.4","1.3","234","41.5","0.509","0.49","0.8"
"","Jason Goldenberg","CREW","MALE","8","15","0.6","3.4","235.4","42.3","0.487","0.512","-1.1"
"","Natalie Sago","CREW","FEMALE","6","15","0.6","3.5","229","40.2","0.511","0.489","0.9"
"","Scott Twardoski","CREW","MALE","14","15","0.667","3.1","225.9","37.9","0.514","0.485","1.1"
"","John Butler","CREW","MALE","6","14","0.5","-0.4","233","38.9","0.496","0.505","-0.4"
"","Tyler Ford","CREW","MALE","10","14","0.571","6.9","219.4","40.2","0.522","0.478","1.8"
"","Phenizee Ransom","CREW","MALE","8","14","0.5","6.1","237.5","40.1","0.515","0.486","1.1"
"","Ashley Moyer-Gleich","CREW","FEMALE","6","13","0.538","7.4","238.9","41.5","0.523","0.476","1.9"
"","Justin Van Duyne","CREW","MALE","11","13","0.692","9","226.4","41.5","0.504","0.497","0.3"
"","Lauren Holtkamp","CREW","FEMALE","12","13","0.615","5","229.2","37.4","0.496","0.504","-0.3"
"","Marat Kogut","CREW","MALE","15","13","0.385","-4.5","226.8","40.2","0.475","0.524","-2"
"","Karl Lane","CREW","MALE","14","13","0.308","-3.9","238.5","40.5","0.465","0.536","-2.8"
"","Andy Nagy","CREW","MALE","5","12","0.75","12.3","231.3","38.8","0.496","0.503","-0.3"
"","Brent Barnaky","CREW","MALE","15","12","0.833","5.7","230.3","38","0.533","0.467","2.5"
"","CJ Washington","CREW","MALE","10","12","0.417","-1.6","229.6","40.8","0.525","0.474","2.1"
"","Kevin Scott","CREW","MALE","14","11","0.636","-1.2","219.2","37.1","0.488","0.512","-0.9"
"","James Williams","CREW","MALE","14","11","0.545","0.8","223.9","39.4","0.521","0.478","1.7"
"","Kevin Cutler","CREW","MALE","15","11","0.727","7","227.7","40.9","0.502","0.498","0.2"
"","Tre Maddox","CREW","MALE","14","11","0.545","5","233.7","41.3","0.453","0.546","-3.8"
"","Mousa Dagher","CREW","MALE","6","10","0.6","4.4","220.2","37.7","0.528","0.472","2.1"
"","Brandon Adair","CREW","MALE","7","10","0.6","-0.3","231.1","38.7","0.53","0.47","2.3"
"","Ed Malloy","CREW","MALE","22","10","0.6","2.7","220.5","36.2","0.547","0.453","3.4"
"","J.T. Orr","CREW","MALE","15","10","0.3","-1.4","222.4","40.8","0.495","0.505","-0.4"
"","Matt Myers","CREW","MALE","12","10","0.5","5","223.6","39.2","0.508","0.492","0.6"
"","Robert Hussey","CREW","MALE","3","10","0.5","-0.4","228.4","36.9","0.482","0.518","-1.3"
"","Suyash Mehta","CREW","MALE","5","10","0.7","2.4","226","41.4","0.514","0.486","1.2"
"","Danielle Scott","CREW","MALE","0","10","0.5","-0.3","225.5","41.3","0.559","0.441","4.9"
"","Ben Taylor","CREW","MALE","12","9","0.444","2.6","226.8","39.8","0.494","0.505","-0.4"
"","Brandon Schwab","CREW","MALE","3","9","0.778","4.7","229.6","41.8","0.5","0.5","0"
"","Brett Nansel","CREW","MALE","10","9","0.667","3.8","219.6","37.4","0.49","0.511","-0.8"
"","Dannica Mosher","CREW","MALE","3","9","0.778","10","229.6","37.6","0.449","0.55","-3.8"
"","Evan Scott","CREW","MALE","6","9","0.889","9.3","232.7","40.2","0.511","0.489","0.9"
"","Jenna Schroeder","CREW","FEMALE","5","9","0.778","4.4","220","40.7","0.519","0.48","1.6"
"","John Conley","CREW","MALE","5","9","0.556","-1.1","223.3","42.2","0.511","0.49","0.9"
"","Jonathan Sterling","CREW","MALE","7","9","0.333","-4.1","242.1","39.9","0.487","0.512","-1"
"","Josh Tiven","CREW","MALE","15","9","0.889","7.3","228.7","38.3","0.508","0.493","0.6"
"","Matt Kallio","CREW","MALE","3","9","0.667","3.1","228.7","41.3","0.5","0.5","0"
"","Nate Green","CREW","MALE","6","9","0.556","3.9","221.7","36.9","0.515","0.485","1.1"
"","Nick Buchert","CREW","MALE","14","9","0.667","4.7","235.8","36.7","0.5","0.5","0"
"","Brian Forte","CREW","MALE","18","8","0.5","2.8","221.5","32.9","0.528","0.471","1.9"
"","Intae Hwang","CREW","MALE","2","8","0.5","0.5","219.8","36.4","0.477","0.522","-1.6"
"","Sean Wright","CREW","MALE","19","8","0.625","-0.9","220.6","40","0.516","0.484","1.3"
"","Sha'Rae Mitchell","CREW","MALE","2","8","0.25","-1.1","231.4","36.4","0.501","0.498","0.1"
"","Che Flores","CREW","FEMALE","3","7","0.286","-2","232","39.7","0.493","0.507","-0.6"
"","Courtney Kirkland","CREW","MALE","25","6","0.333","-0.5","233.2","42.7","0.519","0.48","1.7"
"","Curtis Blair","CREW","MALE","16","6","0.667","8.2","220.5","40.5","0.519","0.481","1.5"
"","Eric Dalen","CREW","MALE","16","6","0.833","9.5","228.2","42.3","0.493","0.508","-0.7"
"","Derrick Collins","CREW","MALE","25","5","0.6","-2.2","233.4","40.4","0.515","0.485","1.2"
"","Zach Zarba","CREW","MALE","21","5","0.6","3.2","229.2","37.4","0.545","0.455","3.4"
"","Brent Haskill","CREW","MALE","2","4","1","6.3","226.3","38.3","0.561","0.437","4.8"
"","Leon Wood","CREW","MALE","29","4","0.75","10.3","235.8","40.3","0.484","0.515","-1.3"
"","Matt Boland","CREW","MALE","25","4","0.25","-6","216","35.8","0.524","0.475","1.8"
"","Pat Fraher","CREW","MALE","29","4","0.5","-2.5","235.5","38.5","0.545","0.455","3.5"
"","Tyler Mirkovich","CREW","MALE","2","4","0.75","14.3","223.3","44.8","0.469","0.53","-2.8"
"","David Guthrie","CREW","MALE","19","4","0.5","4","238.5","41.8","0.425","0.574","-6.3"
"","Mark Lindsay","CREW","MALE","17","4","1","14.8","249.8","41.3","0.521","0.478","1.8"
"","Bill Kennedy","CREW","MALE","29","3","0","-9.3","238.7","45","0.496","0.504","-0.3"
"","Jenna Reneau","CREW","MALE","3","3","0.333","-5","218.3","42.3","0.552","0.449","4.3"
"","Pat O'Connell","CREW","MALE","2","3","0","-12","219.3","42.3","0.52","0.481","1.7"
"","Scott Wall","CREW","MALE","29","3","1","17.3","232","39.3","0.517","0.483","1.3"
"","Tom Washington","CREW","MALE","33","3","0.667","6.3","237.7","38.7","0.517","0.482","1.3"
"","Tyler Ricks","CREW","MALE","3","3","0.333","0.7","218.7","42.7","0.476","0.523","-2"
"","JD Ralls","CREW","MALE","1","3","0.667","7","222.333","37.667","51.327","48.672","1"
"","Derek Richardson","CREW","MALE","29","2","1","8","239","44.5","0.449","0.551","-4.5"
"","Marc Davis","CREW","MALE","25","2","0.5","-0.5","215.5","33","0.515","0.485","1"
"","Michael Smith","CREW","MALE","31","2","0.5","-3","250","47","0.521","0.479","2"
"","Rodney Mott","CREW","MALE","29","2","1","12","219","43","0.57","0.43","6"
"","JB DeRosa","CREW","MALE","7","1","1","11","263","29","0.483","0.517","-1"
"","Clare Aubry","CREW","MALE","2","1","1","7","193","29","0.517","0.483","1"
"","Biniam Maru","CREW","MALE","1","1","1","9","251","41","60.976","39.024","9"